name,attempts,time_taken
tomb,2,31.08
test22,2,20.228836059570312
test33,2,23.70994281768799
Hannah,4,104.85841870307922
123,1,10.471641778945925
sdf,1,8.992017269134521
sedf,2,34.61561727523804
te,2,18.97947382926941
6756,1,10.528221607208252
fbnv,2,16.210302591323853
